Region,Q1,Q2,Q3,Q4,Q5,Q6:1,Q6:2,Q6:3,Q6:4,Q6:5,Q6:6,Q7:1,Q7:2,Q7:3,Q7:4,Q7:5,Q7:6,Q8,Q9,Q9a,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16a,Q16b,Q16c,Q16d,Q17,Q18,Q19,Q20:1,Q20:2,Q20:3,Q20:4,Q21,Q21a,Q21b,Q21c,Q21d,Q21e,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q28a,Q28b,Q28c,Q28d,Q29,Q29a,Q29b,Q29c,Q29d,Q29e,Q29f,Q29g,Q29h,Q29i,Q29j,Q29k,Q30,Q31,Q32:1,Q32:2,Q32:3,Q32:4,Q32:5,Q32:6,Q32:7,Q32:8,Q33:1,Q33:2,Q33:3,Q33:4,Q33:5,Q33:6,Q34,Q35,Q36,PosNeg,ServiceArea
South,More than 10 years,English,,80+,Yes ,Repairs and maintenance,,,,,,,,,,,,Yes,Very satisfied,,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,Yes,Very satisfied,Very satisfied,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,,,By phone,,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,No,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,,,,,,,,Very satisfied,Very satisfied,No complaints at all. Thanks for your concern.,Positive,Housing services
East,Less than a year,Other,Migrant (not born in Australia),60-69,Yes ,,,Rent,,,,,,,By email,,,Yes,Very satisfied,,Very satisfied,No,Very satisfied,Very satisfied,Yes,Yes,Very satisfied,No opinion,No opinion,Very satisfied,No opinion,Very satisfied,No opinion,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,No opinion,No opinion,No opinion,No opinion,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),30-39,No ,,,,,,,,,,,,,,,,Very satisfied,Yes,Very satisfied,Fairly satisfied,Yes,No ,,,,,,,Neither satisfied nor dissatisfied,No,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,,,,Major problem,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,,,,,,,,,,,Other,Fairly satisfied,Fairly satisfied,,,
East,More than 10 years,English,None of the above,80+,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,Location of the meetings,,,,,No feedback received or lack of action,,,,,,,Social activities,,Fairly satisfied,Fairly satisfied,,,
East,More than 10 years,Chinese,Migrant (not born in Australia),80+,No ,,,,,,,,,,,,,,,,Fairly dissatisfied,Unsure,Fairly dissatisfied,Fairly dissatisfied,No,No ,,,,,,,Fairly dissatisfied,No,,,,,,,,,,,,,,Very dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,,Content of the meetings,,,,,,,Helping to share future programs for residents,,,Fairly dissatisfied,Fairly dissatisfied,,,
East,1 to 2 years,Chinese,None of the above,70-79,No ,,,,,,,,,,,,,,,,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,,No,,,,,,,,,,,,,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,No,,,,,,,,,,,,,,,Fairly satisfied,Fairly satisfied,,,
Inner South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),70-79,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,No,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Yes,Neither satisfied nor dissatisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Fairly satisfied,Very dissatisfied,Very dissatisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Yes,,,By phone,,Very dissatisfied,Fairly satisfied,,Very satisfied,Very satisfied,Very satisfied,Fairly dissatisfied,No,,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very dissatisfied,Very satisfied,Very satisfied,Fairly dissatisfied,Major problem,Major problem,Major problem,Major problem,Not a problem at all,Minor problem,Minor problem,Minor problem,Major problem,Minor problem,Not a problem at all,Not a problem at all,Yes,No,,,,,,,,Lack of interest,,,,,,Other,Very dissatisfied,Very dissatisfied,People walking dogs through the complex and not picking up after them. Ground manager said he would put up signs that was 3 years ago. Security gate took 3 months to fix.,Negative,Repairs - time
South,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,No ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly dissatisfied,,,,,,,Major problem,,Major problem,,,,No,No,,,,,,No feedback received or lack of action,,,,,Training opportunities,,Social activities,,Very satisfied,Fairly satisfied,,,
East,More than 10 years,English,Migrant (not born in Australia),70-79,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,Via email,,,,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,No,Unsure,,,,,,No feedback received or lack of action,,,,,,,,,Neither satisfied nor dissatisfied,Fairly satisfied,,,
East,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),80+,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,Yes,Location of the meetings,Transport cost,Family care responsibilities,Times/day of meetings,Content of the meetings,No feedback received or lack of action,Language barrier,Lack of interest,,,,,,,Very satisfied,Very satisfied,,,
East,Less than a year,English,Born in Australia (not Aboriginal or Torres Strait Islander),70-79,Yes ,,,Rent,,,,By phone,,,,,,No,Very satisfied,Very satisfied,Very dissatisfied,Unsure,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,In person,,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No,,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Major problem,Minor problem,Major problem,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,Unsure,,,,,,No feedback received or lack of action,,,,,,,Social activities,,Fairly dissatisfied,Neither satisfied nor dissatisfied,There is minimal interaction between Housing First staff and residents. There should be more pamphlets in letter boxes about activities at HF.,Negative,HousingFirst - communication materials
East,Less than a year,Chinese,Migrant (not born in Australia),80+,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Unsure,Fairly satisfied,Fairly satisfied,Fairly satisfied,Unsure,No opinion,Fairly satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,,Other,No opinion,No opinion,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,No,,,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,Language barrier,,,,,,,,No opinion,Very satisfied,,,
East,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),70-79,No ,,,,,,,,,,,,,,,,,No,No opinion,Neither satisfied nor dissatisfied,Unsure,No ,,,,,,,Fairly satisfied,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,Content of the meetings,,,,,,,,,,No opinion,Fairly satisfied,,,
Inner South,6 to 10 years,English,Migrant (not born in Australia),40-49,Yes ,,,,Residency transfer,,,By phone,,,,,,Yes,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No opinion,Unsure,No opinion,Neither satisfied nor dissatisfied,Unsure,No ,,,,,,,Very dissatisfied,No,,,,,,,,,,,,,,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very dissatisfied,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Yes,Unsure,,,,,,,,Lack of interest,,,,,,Other,Fairly satisfied,Fairly satisfied,,,
Inner South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,No ,,,,,,,,,,,,,,,,Fairly satisfied,Yes,Fairly satisfied,Very satisfied,Unsure,No ,,,,,,,Fairly satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,Unsure,,,,,,,,,,,Training opportunities,,Social activities,,Neither satisfied nor dissatisfied,Very satisfied,I think Housing First is a great option for me as I am on a pension and they are reasonable with rent.,Positive,Housing services
Inner South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,Lack of interest,,,,,,Other,Very satisfied,Very satisfied,,,
Inner South,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,Repairs and maintenance,,,,,,,,,By email,,,Yes,Very satisfied,Fairly satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,Via email,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Yes,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Major problem,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Major problem,Minor problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,Lack of interest,,,,,,Other,Very satisfied,Very satisfied,,,
Inner Northwest,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Fairly satisfied,,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,,By phone,,Very satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,Fairly dissatisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Major problem,Minor problem,Major problem,Minor problem,Minor problem,Minor problem,Minor problem,Minor problem,Minor problem,Minor problem,Minor problem,Minor problem,Yes,Yes,Location of the meetings,Transport cost,,Times/day of meetings,,,,,,,,,,Other,Fairly satisfied,Fairly satisfied,,,
North,1 to 2 years,English,Migrant (not born in Australia),50-59,No ,,,,,,,,,,,,,,,,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,,,,,Lack of interest,,,,,,Other,Very satisfied,Very satisfied,,,
Inner South,More than 10 years,Russian,Migrant (not born in Australia),80+,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Unsure,No ,,,,,,,Fairly satisfied,No,,,,,,,,,,,,,,Fairly satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Minor problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Minor problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Yes,Unsure,,,,,,,Language barrier,,,,,,Social activities,,Fairly satisfied,Fairly satisfied,,,
East,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),,No ,,,,,,,,,,,,,,,,Fairly satisfied,Unsure,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Unsure,No ,,,,,,,Fairly satisfied,No,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Not a problem at all,Minor problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,,,,,,,,,,,,,,,,,,,,,
South,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),30-39,Yes ,Repairs and maintenance,,,,,,,,,By email,,,Yes,,,,,,,Yes,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very dissatisfied,Yes,Via email,,,,Very dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Fairly dissatisfied,Yes,Fairly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Minor problem,Major problem,Major problem,Not a problem at all,Minor problem,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Minor problem,No,No,,,Family care responsibilities,,,,,,,Employment opportunities,Training opportunities,,,,Fairly satisfied,Neither satisfied nor dissatisfied,"There is no security anywhere in the building. The carpark is full of junkies who bring in stolen goods everyday , they try to break into cars and steal from the storage cargo. We need cameras in the carpark and near letterboxes, these thieves are getting away with their crimes while we have to be worried about our cars overnight.",Negative,Neighbourhood - anti-social behaviour
East,1 to 2 years,English,Migrant (not born in Australia),50-59,No ,,,,,,,,,,,,,,,,No opinion,Yes,No opinion,No opinion,No,No ,,,,,,,Fairly satisfied,No,,,,,,,,,,,,,,No opinion,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,Lack of interest,,,,,,Other,No opinion,No opinion,,,
East,6 to 10 years,English,Migrant (not born in Australia),70-79,No ,,,,,,,,,,,,,,,,Fairly satisfied,Unsure,Neither satisfied nor dissatisfied,Fairly satisfied,Yes,No ,,,,,,,Fairly satisfied,No,,,,,,,,,,,,,,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,No,Unsure,Location of the meetings,,,Times/day of meetings,,,,Lack of interest,,,,,Social activities,,Fairly satisfied,Fairly satisfied,,,
Inner South,More than 10 years,English,Migrant (not born in Australia),80+,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Fairly satisfied,Very satisfied,,Unsure,Neither satisfied nor dissatisfied,Very satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,,By phone,,Very satisfied,Fairly satisfied,Very dissatisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner South,More than 10 years,English,Migrant (not born in Australia),60-69,Yes ,Repairs and maintenance,Neighbourhood issues,,Residency transfer,,,By phone,,,,,,Yes,Very satisfied,,Very satisfied,Yes,No opinion,Very satisfied,Yes,Yes,Very satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Minor problem,Major problem,Not a problem at all,Minor problem,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,Lack of interest,,,,,,Other,Very satisfied,Very satisfied,Its all good thanks.,Positive,Housing services
East,Less than a year,Other,Migrant (not born in Australia),80+,Yes ,,,,,,Other,By phone,,,,,,Yes,Very satisfied,,Fairly satisfied,,Fairly satisfied,Fairly satisfied,No,No ,,,,,,,Very satisfied,Yes,,,,Other,Very satisfied,Very satisfied,,,,Very satisfied,Very satisfied,,,Very satisfied,No opinion,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Minor problem,Not a problem at all,Minor problem,,,,Not a problem at all,Minor problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,No,No,,,,,,,Language barrier,,,,,,Social activities,,Fairly satisfied,Fairly satisfied,,,
East,1 to 2 years,English,Refugee or asylum seeker,70-79,,,,,,,,,,,,,,,,,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Fairly dissatisfied,Fairly dissatisfied,Very dissatisfied,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,No,,,,,,,,,,,,,,No opinion,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,,,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,,Not a problem at all,,,Not a problem at all,Not a problem at all,Unsure,Yes,,,,Times/day of meetings,,,,,,Employment opportunities,Training opportunities,,Social activities,,Fairly satisfied,Fairly satisfied,,,
Inner Northwest,More than 10 years,English,Migrant (not born in Australia),60-69,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Yes,No,,,,,,,,,,,,,,,Very satisfied,Very satisfied,,,
East,Less than a year,English,Born in Australia (not Aboriginal or Torres Strait Islander),70-79,No ,,,,,,,,,,,,,,,,Fairly satisfied,Unsure,Fairly satisfied,Very satisfied,Unsure,No ,,,,,,,Fairly satisfied,,,,,,,,,,,,,,,Fairly satisfied,Very satisfied,Very satisfied,,,,,,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Fairly satisfied,,,
Inner South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,,,Rent,,,,By phone,,,,,,Yes,Fairly dissatisfied,,Very dissatisfied,Unsure,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,,By phone,,Fairly dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,No,,Fairly dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Major problem,Minor problem,Major problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,No,Unsure,,,,,,No feedback received or lack of action,,,,,,,,Other,Fairly satisfied,Neither satisfied nor dissatisfied,I think there needs to be more consultation with tenants around some of the bigger maintenance issues. Illegible,Negative,Tenant engagement
East,1 to 2 years,Spanish,Migrant (not born in Australia),60-69,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,By phone,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,Location of the meetings,,,,,,,,,,,,Social activities,,Very satisfied,Very satisfied,Thank you for giving me the opportunity to rent this apartment. My gratitude is immense.,Positive,Housing services
Inner South,More than 10 years,English,Migrant (not born in Australia),70-79,No ,,,,,,,,,,,,,,,,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,In person,,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Minor problem,,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,Times/day of meetings,,,,,,,,,,Other,Fairly satisfied,Very satisfied,All good thanks.,Positive,HousingFirst generally
South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,,,,,,Other,By phone,,,By email,,,Unsure,Fairly dissatisfied,,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,Fairly satisfied,No,,,,,,,,,,,,,,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Major problem,Minor problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,No,No,,,,,,No feedback received or lack of action,,,,Employment opportunities,Training opportunities,Helping to share future programs for residents,,,Fairly satisfied,Fairly satisfied,,,
Inner South,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,Repairs and maintenance,,,,,,,In person,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Minor problem,Major problem,Minor problem,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Yes,Yes,Location of the meetings,,,,,,,,,Employment opportunities,Training opportunities,Helping to share future programs for residents,Social activities,Other,Very satisfied,Very satisfied,HF have been very good to me. With gardening that I do. Very supportive in a lot of ways and I feel very content with management.,Positive,Housing services
